"date","variable","decimaldate","month","decimal_during","smooth","var","by_var","fs_var","data","derivative","se","crit","lower","upper","signif","sign","signif_sign","Provplats_ID","name","trend"
2006-01-15,18.5666666666667,2006.03835616438,1,0.0383561643834582,"s(decimaldate)","decimaldate",NA,NA,2006.03835616438,0.236715160844081,0.163476772703021,1.95996398454005,-0.0836934259626801,0.557123747650842,FALSE,1,0,135402,"mean",19.6537827853685
2006-03-15,20.8166666666667,2006.2,3,0.200000000000045,"s(decimaldate)","decimaldate",NA,NA,2006.2,0.241333761387551,0.1634719773898,1.95996398454005,-0.0790654267780025,0.561732949553104,FALSE,1,0,135402,"mean",19.6924531705888
2006-04-15,20.1333333333333,2006.28493150685,4,0.284931506849261,"s(decimaldate)","decimaldate",NA,NA,2006.28493150685,0.242787046843872,0.163788012527039,1.95996398454005,-0.0782315588085189,0.563805652496262,FALSE,1,0,135402,"mean",19.7130163074246
2006-05-15,19.7333333333333,2006.36712328767,5,0.36712328767112,"s(decimaldate)","decimaldate",NA,NA,2006.36712328767,0.243601075104428,0.16403590135619,1.95996398454005,-0.0779033837252695,0.565105533934125,FALSE,1,0,135402,"mean",19.7330086493973
2006-06-15,18.4333333333333,2006.45205479452,6,0.452054794520564,"s(decimaldate)","decimaldate",NA,NA,2006.45205479452,0.243868128055558,0.163947629052671,1.95996398454005,-0.0774633202384084,0.565199576349525,FALSE,1,0,135402,"mean",19.7537134148347
2006-07-15,21.7333333333333,2006.53424657534,7,0.534246575342422,"s(decimaldate)","decimaldate",NA,NA,2006.53424657534,0.243572740501366,0.163894625395185,1.95996398454005,-0.0776548225328803,0.564800303535612,FALSE,1,0,135402,"mean",19.7737488993023
2006-08-15,20.7833333333333,2006.61917808219,8,0.619178082191866,"s(decimaldate)","decimaldate",NA,NA,2006.61917808219,0.242672712186726,0.164007845224287,1.95996398454005,-0.0787767576348964,0.564122182008349,FALSE,1,0,135402,"mean",19.7944019725079
2006-09-15,20.3666666666667,2006.70410958904,9,0.704109589041082,"s(decimaldate)","decimaldate",NA,NA,2006.70410958904,0.24117362112693,0.163985009486342,1.95996398454005,-0.0802310914707597,0.562578333724619,FALSE,1,0,135402,"mean",19.8149532710024
2006-10-15,21.1,2006.78630136986,10,0.78630136986294,"s(decimaldate)","decimaldate",NA,NA,2006.78630136986,0.239200502407292,0.163888649530306,1.95996398454005,-0.0820153481470155,0.560416352961599,FALSE,1,0,135402,"mean",19.8346981359835
2006-11-15,19.3333333333333,2006.87123287671,11,0.871232876712384,"s(decimaldate)","decimaldate",NA,NA,2006.87123287671,0.236698009242324,0.164186914252214,1.95996398454005,-0.0851024294247823,0.55849844790943,FALSE,1,0,135402,"mean",19.8549104447027
2006-12-15,21.0333333333333,2006.95342465753,12,0.953424657534242,"s(decimaldate)","decimaldate",NA,NA,2006.95342465753,0.233920819921677,0.163852347965525,1.95996398454005,-0.087223880873076,0.55506552071643,FALSE,1,0,135402,"mean",19.8742529803326
2007-01-15,19.8333333333333,2007.03835616438,1,0.0383561643834582,"s(decimaldate)","decimaldate",NA,NA,2007.03835616438,0.230752442726324,0.163507926669605,1.95996398454005,-0.089717204732918,0.551222090185565,FALSE,1,0,135402,"mean",19.8939875394148
2007-03-15,19.6333333333333,2007.2,3,0.200000000000045,"s(decimaldate)","decimaldate",NA,NA,2007.2,0.223987854185586,0.163590844290521,1.95996398454005,-0.0966443088243348,0.544620017195507,FALSE,1,0,135402,"mean",19.9307530499961
2007-04-15,19.9333333333333,2007.28493150685,4,0.284931506849261,"s(decimaldate)","decimaldate",NA,NA,2007.28493150685,0.220051959890891,0.163995376529295,1.95996398454005,-0.101373071737612,0.541476991519394,FALSE,1,0,135402,"mean",19.9496113546273
2007-05-15,19.1333333333333,2007.36712328767,5,0.36712328767112,"s(decimaldate)","decimaldate",NA,NA,2007.36712328767,0.215977736893328,0.164442407835165,1.95996398454005,-0.106323459994641,0.538278933781298,FALSE,1,0,135402,"mean",19.9675322270654
2007-06-15,19.5333333333333,2007.45205479452,6,0.452054794520564,"s(decimaldate)","decimaldate",NA,NA,2007.45205479452,0.211471821862941,0.16418428653423,1.95996398454005,-0.110323466571553,0.533267110297435,FALSE,1,0,135402,"mean",19.985686533858
2007-07-15,20.1666666666667,2007.53424657534,7,0.534246575342422,"s(decimaldate)","decimaldate",NA,NA,2007.53424657534,0.206785339480238,0.16439189630258,1.95996398454005,-0.115416856623062,0.528987535583539,FALSE,1,0,135402,"mean",20.0028775370262
2007-08-15,21.1,2007.61917808219,8,0.619178082191866,"s(decimaldate)","decimaldate",NA,NA,2007.61917808219,0.201556469878235,0.164491622264245,1.95996398454005,-0.120841185518252,0.523954125274722,FALSE,1,0,135402,"mean",20.0202210099875
2007-09-15,20.4333333333333,2007.70410958904,9,0.704109589041082,"s(decimaldate)","decimaldate",NA,NA,2007.70410958904,0.195916581086854,0.164398445441359,1.95996398454005,-0.126298451092581,0.51813161326629,FALSE,1,0,135402,"mean",20.0371031154377
2007-10-15,20.6666666666667,2007.78630136986,10,0.78630136986294,"s(decimaldate)","decimaldate",NA,NA,2007.78630136986,0.190078936487454,0.164655067043425,1.95996398454005,-0.132639064789687,0.512796937764595,FALSE,1,0,135402,"mean",20.0529685128174
2007-11-15,19.6333333333333,2007.87123287671,11,0.871232876712384,"s(decimaldate)","decimaldate",NA,NA,2007.87123287671,0.183698238160313,0.164611497676284,1.95996398454005,-0.138934368726402,0.506330845047028,FALSE,1,0,135402,"mean",20.068843567354
2007-12-15,19.6333333333333,2007.95342465753,12,0.953424657534242,"s(decimaldate)","decimaldate",NA,NA,2007.95342465753,0.177238703721548,0.164651578563084,1.95996398454005,-0.145472460259763,0.49994986770286,FALSE,1,0,135402,"mean",20.0836782978928
2008-01-15,19.3666666666667,2008.03825136612,1,0.0382513661202211,"s(decimaldate)","decimaldate",NA,NA,2008.03825136612,0.170297382202647,0.164853474496665,1.95996398454005,-0.152809490537108,0.493404254942403,FALSE,1,0,135402,"mean",20.0984204334451
2008-02-15,20.7333333333333,2008.12295081967,2,0.122950819672042,"s(decimaldate)","decimaldate",NA,NA,2008.12295081967,0.163084867568803,0.1647599395246,1.95996398454005,-0.159838679994411,0.486008415132017,FALSE,1,0,135402,"mean",20.1125414525075
2008-03-15,20.1333333333333,2008.20218579235,3,0.202185792349837,"s(decimaldate)","decimaldate",NA,NA,2008.20218579235,0.156037098088021,0.164931872331385,1.95996398454005,-0.167223431584252,0.479297627760294,FALSE,1,0,135402,"mean",20.1251864420069
2008-04-15,19.6666666666667,2008.2868852459,4,0.286885245901658,"s(decimaldate)","decimaldate",NA,NA,2008.2868852459,0.148157913861941,0.164990862256111,1.95996398454005,-0.175218233938245,0.471534061662127,FALSE,1,0,135402,"mean",20.1380716788281
2008-05-15,22.3333333333333,2008.36885245902,5,0.368852459016352,"s(decimaldate)","decimaldate",NA,NA,2008.36885245902,0.140234574979882,0.164944013235362,1.95996398454005,-0.183049750426925,0.463518900386689,FALSE,1,0,135402,"mean",20.1498928442347
2008-06-15,23.7333333333333,2008.45355191257,6,0.4535519125684,"s(decimaldate)","decimaldate",NA,NA,2008.45355191257,0.131874719277989,0.165139959931209,1.95996398454005,-0.191793654595568,0.455543093151546,FALSE,1,0,135402,"mean",20.161417252277
2008-07-15,24.5666666666667,2008.53551912568,7,0.535519125683095,"s(decimaldate)","decimaldate",NA,NA,2008.53551912568,0.123823911241938,0.165083628733287,1.95996398454005,-0.199734055512487,0.447381877996363,FALSE,1,0,135402,"mean",20.1718956568674
2008-08-15,21.4,2008.62021857923,8,0.620218579234916,"s(decimaldate)","decimaldate",NA,NA,2008.62021857923,0.115769935190099,0.165157962280748,1.95996398454005,-0.207933722640191,0.43947359302039,FALSE,1,0,135402,"mean",20.1820396045887
2008-09-15,20.4333333333333,2008.70491803279,9,0.704918032786964,"s(decimaldate)","decimaldate",NA,NA,2008.70491803279,0.108171036856268,0.165272194428576,1.95996398454005,-0.215756511869642,0.432098585582178,FALSE,1,0,135402,"mean",20.1915197747372
2008-10-15,20.2,2008.7868852459,10,0.786885245901658,"s(decimaldate)","decimaldate",NA,NA,2008.7868852459,0.101331136764783,0.165204783160553,1.95996398454005,-0.222464288303649,0.425126561833216,FALSE,1,0,135402,"mean",20.2001023837755
2008-11-15,18.5333333333333,2008.87158469945,11,0.871584699453479,"s(decimaldate)","decimaldate",NA,NA,2008.87158469945,0.0947874453851016,0.165353013965995,1.95996398454005,-0.229298506723397,0.4188733974936,FALSE,1,0,135402,"mean",20.2084043145155
2008-12-15,20.6,2008.95355191257,12,0.9535519125684,"s(decimaldate)","decimaldate",NA,NA,2008.95355191257,0.0889254294061821,0.16535133462294,1.95996398454005,-0.235157231250411,0.413008090062775,FALSE,1,0,135402,"mean",20.2159305660924
2009-01-15,19.4333333333333,2009.03835616438,1,0.0383561643834582,"s(decimaldate)","decimaldate",NA,NA,2009.03835616438,0.083321687990206,0.165345555094861,1.95996398454005,-0.240749644999505,0.407393020979917,FALSE,1,0,135402,"mean",20.223230835839
2009-02-15,21,2009.12328767123,2,0.123287671232902,"s(decimaldate)","decimaldate",NA,NA,2009.12328767123,0.0781783717000924,0.165503268276367,1.95996398454005,-0.246202073445258,0.402558816845443,FALSE,1,0,135402,"mean",20.2300855059619
2009-03-15,19.5666666666667,2009.2,3,0.200000000000045,"s(decimaldate)","decimaldate",NA,NA,2009.2,0.0739705241281432,0.165430751753244,1.95996398454005,-0.250267791243602,0.398208839499889,FALSE,1,0,135402,"mean",20.2359186341876
2009-04-15,19.7,2009.28493150685,4,0.284931506849261,"s(decimaldate)","decimaldate",NA,NA,2009.28493150685,0.0697713152550765,0.165467367364431,1.95996398454005,-0.254538765395866,0.394081395906019,FALSE,1,0,135402,"mean",20.2420193764099
2009-05-15,18.6666666666667,2009.36712328767,5,0.36712328767112,"s(decimaldate)","decimaldate",NA,NA,2009.36712328767,0.0661300192799316,0.165585403672342,1.95996398454005,-0.258411408283385,0.390671446843249,FALSE,1,0,135402,"mean",20.2476020258262
2009-06-15,19.1333333333333,2009.45205479452,6,0.452054794520564,"s(decimaldate)","decimaldate",NA,NA,2009.45205479452,0.0626930900315503,0.165419216782797,1.95996398454005,-0.261522617213555,0.386908797276656,FALSE,1,0,135402,"mean",20.2530705962232
2009-07-15,21.7333333333333,2009.53424657534,7,0.534246575342422,"s(decimaldate)","decimaldate",NA,NA,2009.53424657534,0.0596163264721786,0.165588501095448,1.95996398454005,-0.26493117192887,0.384163824873227,FALSE,1,0,135402,"mean",20.2580954732894
2009-08-15,23.3333333333333,2009.61917808219,8,0.619178082191866,"s(decimaldate)","decimaldate",NA,NA,2009.61917808219,0.0566952875710293,0.165600155936338,1.95996398454005,-0.26787505389841,0.381265629040469,FALSE,1,0,135402,"mean",20.2630326984688
2009-09-15,20.7,2009.70410958904,9,0.704109589041082,"s(decimaldate)","decimaldate",NA,NA,2009.70410958904,0.0541152368581944,0.165411546706095,1.95996398454005,-0.270085437312818,0.378315911029206,FALSE,1,0,135402,"mean",20.2677355457346
2009-10-15,20.5,2009.78630136986,10,0.78630136986294,"s(decimaldate)","decimaldate",NA,NA,2009.78630136986,0.0520414521583928,0.165814849555172,1.95996398454005,-0.272949681071672,0.377032585388457,FALSE,1,0,135402,"mean",20.2720950461059
2009-11-15,19.2333333333333,2009.87123287671,11,0.871232876712384,"s(decimaldate)","decimaldate",NA,NA,2009.87123287671,0.0504054594386222,0.1653527338854,1.95996398454005,-0.273679943721997,0.374490862599241,FALSE,1,0,135402,"mean",20.2764417107702
2009-12-15,17.8,2009.95342465753,12,0.953424657534242,"s(decimaldate)","decimaldate",NA,NA,2009.95342465753,0.0492723897456709,0.164979274462578,1.95996398454005,-0.27408104639653,0.372625825887872,FALSE,1,0,135402,"mean",20.2805349666555
2010-02-15,21.2333333333333,2010.12328767123,2,0.123287671232902,"s(decimaldate)","decimaldate",NA,NA,2010.12328767123,0.0480787268386848,0.164946858497493,1.95996398454005,-0.275211175179427,0.371368628856797,FALSE,1,0,135402,"mean",20.2887834794867
2010-03-15,19.9,2010.2,3,0.200000000000045,"s(decimaldate)","decimaldate",NA,NA,2010.2,0.0479856380637794,0.16546808170021,1.95996398454005,-0.276325842659563,0.372297118787121,FALSE,1,0,135402,"mean",20.292466469867
2010-04-15,19.0333333333333,2010.28493150685,4,0.284931506849261,"s(decimaldate)","decimaldate",NA,NA,2010.28493150685,0.0481810957593707,0.165887192897028,1.95996398454005,-0.276951827815254,0.373314019333995,FALSE,1,0,135402,"mean",20.2965480124897
2010-05-15,20.6,2010.36712328767,5,0.36712328767112,"s(decimaldate)","decimaldate",NA,NA,2010.36712328767,0.0486727442514788,0.165471156921657,1.95996398454005,-0.275644763795145,0.372990252298102,FALSE,1,0,135402,"mean",20.3005263224044
2010-06-15,18.9833333333333,2010.45205479452,6,0.452054794520564,"s(decimaldate)","decimaldate",NA,NA,2010.45205479452,0.0494711024827942,0.165786501584501,1.95996398454005,-0.27546446974572,0.374406674711309,FALSE,1,0,135402,"mean",20.3046920034575
2010-07-15,20.3,2010.53424657534,7,0.534246575342422,"s(decimaldate)","decimaldate",NA,NA,2010.53424657534,0.0504591216859923,0.165622542187242,1.95996398454005,-0.274155096028969,0.375073339400953,FALSE,1,0,135402,"mean",20.3087974859818
2010-08-15,20.4666666666667,2010.61917808219,8,0.619178082191866,"s(decimaldate)","decimaldate",NA,NA,2010.61917808219,0.051635738716372,0.16556622544959,1.95996398454005,-0.272868100221063,0.376139577653807,FALSE,1,0,135402,"mean",20.3131324642976
2010-09-15,20.4,2010.70410958904,9,0.704109589041082,"s(decimaldate)","decimaldate",NA,NA,2010.70410958904,0.0528846918736339,0.165755220995663,1.95996398454005,-0.271989571527342,0.37775895527461,FALSE,1,0,135402,"mean",20.3175707133647
2010-10-15,20.6333333333333,2010.78630136986,10,0.78630136986294,"s(decimaldate)","decimaldate",NA,NA,2010.78630136986,0.0541212153448894,0.165411130137621,1.95996398454005,-0.270078642366915,0.378321073056694,FALSE,1,0,135402,"mean",20.3219680660816
2010-11-15,19,2010.87123287671,11,0.871232876712384,"s(decimaldate)","decimaldate",NA,NA,2010.87123287671,0.0554588208937289,0.165741235391862,1.95996398454005,-0.269388031227496,0.380305673014953,FALSE,1,0,135402,"mean",20.3266209325027
