STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1980	10	>= 225.0 m	-0.66198	1
BY15 GOTLANDSDJ	135404	1981	3	>= 225.0 m	-0.6372960000000001	1
BY15 GOTLANDSDJ	135404	1981	5	>= 225.0 m	-0.7966200000000001	1
BY15 GOTLANDSDJ	135404	1981	11	>= 225.0 m	-2.203608	1
BY15 GOTLANDSDJ	135404	1982	3	>= 225.0 m	-2.22156	1
BY15 GOTLANDSDJ	135404	1982	5	>= 225.0 m	-2.315808	1
BY15 GOTLANDSDJ	135404	1982	8	>= 225.0 m	0.0	1
BY15 GOTLANDSDJ	135404	1982	11	>= 225.0 m	-2.2529760000000003	1
BY15 GOTLANDSDJ	135404	1983	1	>= 225.0 m	0.0	1
BY15 GOTLANDSDJ	135404	1983	6	>= 225.0 m	-1.036728	1
BY15 GOTLANDSDJ	135404	1983	9	>= 225.0 m	-1.864764	1
BY15 GOTLANDSDJ	135404	1983	11	>= 225.0 m	-1.8513000000000002	1
BY15 GOTLANDSDJ	135404	1984	1	>= 225.0 m	-1.2588840000000001	1
BY15 GOTLANDSDJ	135404	1984	5	>= 225.0 m	-1.9051560000000003	1
BY15 GOTLANDSDJ	135404	1984	9	>= 225.0 m	-2.70402	1
BY15 GOTLANDSDJ	135404	1984	11	>= 225.0 m	-3.0428640000000002	1
BY15 GOTLANDSDJ	135404	1985	1	>= 225.0 m	-2.8431480000000002	1
BY15 GOTLANDSDJ	135404	1985	6	>= 225.0 m	-3.0428640000000007	1
BY15 GOTLANDSDJ	135404	1985	9	>= 225.0 m	-2.4594240000000003	1
BY15 GOTLANDSDJ	135404	1985	11	>= 225.0 m	-2.7556320000000003	1
BY15 GOTLANDSDJ	135404	1986	1	>= 225.0 m	-2.899248	1
BY15 GOTLANDSDJ	135404	1986	6	>= 225.0 m	0.0	1
BY15 GOTLANDSDJ	135404	1986	9	>= 225.0 m	-2.7287040000000005	1
BY15 GOTLANDSDJ	135404	1986	11	>= 225.0 m	-2.7556320000000003	1
BY15 GOTLANDSDJ	135404	1987	1	>= 225.0 m	-2.481864	1
