STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1984	11	0-10 m	16.85	1
BY15 GOTLANDSDJ	135404	1985	1	0-10 m	18.333333333333332	1
BY15 GOTLANDSDJ	135404	1985	6	0-10 m	28.725	1
BY15 GOTLANDSDJ	135404	1985	9	0-10 m	21.599999999999998	1
BY15 GOTLANDSDJ	135404	1985	11	0-10 m	16.8	1
BY15 GOTLANDSDJ	135404	1986	1	0-10 m	18.933333333333334	1
BY15 GOTLANDSDJ	135404	1986	6	0-10 m	19.65	1
BY15 GOTLANDSDJ	135404	1986	9	0-10 m	18.0	1
BY15 GOTLANDSDJ	135404	1986	11	0-10 m	16.575	1
BY15 GOTLANDSDJ	135404	1987	1	0-10 m	21.066666666666666	1
BY15 GOTLANDSDJ	135404	1987	5	0-10 m	19.475	1
BY15 GOTLANDSDJ	135404	1987	9	0-10 m	20.333333333333332	1
BY15 GOTLANDSDJ	135404	1987	11	0-10 m	20.45	1
BY15 GOTLANDSDJ	135404	1988	1	0-10 m	20.766666666666666	1
BY15 GOTLANDSDJ	135404	1988	5	0-10 m	20.25	1
BY15 GOTLANDSDJ	135404	1988	8	0-10 m	20.2	1
BY15 GOTLANDSDJ	135404	1988	11	0-10 m	19.6	1
BY15 GOTLANDSDJ	135404	1989	1	0-10 m	23.933333333333334	1
BY15 GOTLANDSDJ	135404	1989	5	0-10 m	20.1	1
BY15 GOTLANDSDJ	135404	1989	8	0-10 m	20.5	1
BY15 GOTLANDSDJ	135404	1989	11	0-10 m	21.2	1
BY15 GOTLANDSDJ	135404	1990	1	0-10 m	19.566666666666666	1
BY15 GOTLANDSDJ	135404	1990	5	0-10 m	20.925	1
BY15 GOTLANDSDJ	135404	1990	8	0-10 m	24.133333333333336	1
BY15 GOTLANDSDJ	135404	1990	11	0-10 m	20.225	1
BY15 GOTLANDSDJ	135404	1991	1	0-10 m	20.333333333333332	1
BY15 GOTLANDSDJ	135404	1991	5	0-10 m	18.925	1
BY15 GOTLANDSDJ	135404	1991	9	0-10 m	19.900000000000002	1
BY15 GOTLANDSDJ	135404	1991	11	0-10 m	18.475	1
BY15 GOTLANDSDJ	135404	1992	1	0-10 m	25.599999999999998	1
BY15 GOTLANDSDJ	135404	1992	3	0-10 m	23.266666666666666	1
BY15 GOTLANDSDJ	135404	1992	5	0-10 m		0
BY15 GOTLANDSDJ	135404	1992	8	0-10 m	20.033333333333335	1
BY15 GOTLANDSDJ	135404	1992	11	0-10 m	21.975	1
BY15 GOTLANDSDJ	135404	1993	3	0-10 m	18.525	1
BY15 GOTLANDSDJ	135404	1993	4	0-10 m	20.8	1
BY15 GOTLANDSDJ	135404	1993	6	0-10 m	26.375	1
BY15 GOTLANDSDJ	135404	1993	7	0-10 m	26.0	1
BY15 GOTLANDSDJ	135404	1993	8	0-10 m	25.95	2
BY15 GOTLANDSDJ	135404	1993	10	0-10 m	24.0	1
BY15 GOTLANDSDJ	135404	1993	11	0-10 m	20.233333333333334	1
BY15 GOTLANDSDJ	135404	1993	12	0-10 m	17.225	1
BY15 GOTLANDSDJ	135404	1994	1	0-10 m	20.38	1
BY15 GOTLANDSDJ	135404	1994	2	0-10 m	24.375	1
BY15 GOTLANDSDJ	135404	1994	3	0-10 m	24.5	1
BY15 GOTLANDSDJ	135404	1994	4	0-10 m	21.3875	1
BY15 GOTLANDSDJ	135404	1994	5	0-10 m		0
BY15 GOTLANDSDJ	135404	1994	7	0-10 m		0
BY15 GOTLANDSDJ	135404	1994	8	0-10 m		0
BY15 GOTLANDSDJ	135404	1994	9	0-10 m	21.25	1
BY15 GOTLANDSDJ	135404	1994	10	0-10 m	22.325	1
BY15 GOTLANDSDJ	135404	1994	11	0-10 m	20.325	1
BY15 GOTLANDSDJ	135404	1995	1	0-10 m	23.424999999999997	1
BY15 GOTLANDSDJ	135404	1995	2	0-10 m	22.275	1
BY15 GOTLANDSDJ	135404	1995	3	0-10 m	24.262500000000003	2
BY15 GOTLANDSDJ	135404	1995	4	0-10 m	21.0975	1
BY15 GOTLANDSDJ	135404	1995	5	0-10 m	21.6	1
BY15 GOTLANDSDJ	135404	1995	6	0-10 m	21.075	1
BY15 GOTLANDSDJ	135404	1995	7	0-10 m	22.825	1
BY15 GOTLANDSDJ	135404	1995	8	0-10 m	27.2	1
BY15 GOTLANDSDJ	135404	1995	9	0-10 m	22.575000000000003	1
BY15 GOTLANDSDJ	135404	1995	10	0-10 m	23.15	1
BY15 GOTLANDSDJ	135404	1995	11	0-10 m	22.6	1
BY15 GOTLANDSDJ	135404	1995	12	0-10 m		0
BY15 GOTLANDSDJ	135404	1996	1	0-10 m	20.375	1
BY15 GOTLANDSDJ	135404	1996	2	0-10 m	21.65	1
BY15 GOTLANDSDJ	135404	1996	3	0-10 m	23.262500000000003	2
