STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1983	6	0-10 m	0.44	1
BY15 GOTLANDSDJ	135404	1983	9	0-10 m	0.6333333333333333	1
BY15 GOTLANDSDJ	135404	1983	11	0-10 m	0.6225	1
BY15 GOTLANDSDJ	135404	1984	1	0-10 m	0.8366666666666666	1
BY15 GOTLANDSDJ	135404	1984	5	0-10 m	0.9125000000000001	1
BY15 GOTLANDSDJ	135404	1984	9	0-10 m	0.47333333333333333	1
BY15 GOTLANDSDJ	135404	1984	11	0-10 m	0.5025	1
BY15 GOTLANDSDJ	135404	1985	1	0-10 m	0.6999999999999998	1
BY15 GOTLANDSDJ	135404	1985	6	0-10 m	0.9199999999999999	1
BY15 GOTLANDSDJ	135404	1985	9	0-10 m	0.4166666666666667	1
BY15 GOTLANDSDJ	135404	1985	11	0-10 m	0.4675	1
BY15 GOTLANDSDJ	135404	1986	1	0-10 m	0.7200000000000001	1
BY15 GOTLANDSDJ	135404	1986	6	0-10 m	0.4225	1
BY15 GOTLANDSDJ	135404	1986	9	0-10 m	0.32666666666666666	1
BY15 GOTLANDSDJ	135404	1986	11	0-10 m	0.4175	1
BY15 GOTLANDSDJ	135404	1987	1	0-10 m	0.8666666666666667	1
BY15 GOTLANDSDJ	135404	1987	5	0-10 m	0.8025	1
BY15 GOTLANDSDJ	135404	1987	9	0-10 m	0.47333333333333333	1
BY15 GOTLANDSDJ	135404	1987	11	0-10 m	0.5175000000000001	1
BY15 GOTLANDSDJ	135404	1988	1	0-10 m	0.8533333333333334	1
BY15 GOTLANDSDJ	135404	1988	5	0-10 m	0.5425	1
BY15 GOTLANDSDJ	135404	1988	8	0-10 m	0.42	1
BY15 GOTLANDSDJ	135404	1988	11	0-10 m	0.4	1
BY15 GOTLANDSDJ	135404	1989	1	0-10 m	0.6966666666666667	1
BY15 GOTLANDSDJ	135404	1989	5	0-10 m	0.595	1
BY15 GOTLANDSDJ	135404	1989	8	0-10 m	0.45	1
BY15 GOTLANDSDJ	135404	1989	11	0-10 m	0.5	1
BY15 GOTLANDSDJ	135404	1990	1	0-10 m	0.6066666666666666	1
BY15 GOTLANDSDJ	135404	1990	5	0-10 m	0.6375	1
BY15 GOTLANDSDJ	135404	1990	8	0-10 m	0.5833333333333334	1
BY15 GOTLANDSDJ	135404	1990	11	0-10 m	0.6275	1
BY15 GOTLANDSDJ	135404	1991	1	0-10 m	0.8066666666666666	1
BY15 GOTLANDSDJ	135404	1991	5	0-10 m	0.63	1
BY15 GOTLANDSDJ	135404	1991	9	0-10 m	0.44	1
BY15 GOTLANDSDJ	135404	1991	11	0-10 m	0.575	1
BY15 GOTLANDSDJ	135404	1992	1	0-10 m	0.98	1
BY15 GOTLANDSDJ	135404	1992	3	0-10 m	0.9933333333333333	1
BY15 GOTLANDSDJ	135404	1992	5	0-10 m		0
BY15 GOTLANDSDJ	135404	1992	8	0-10 m	0.34	1
BY15 GOTLANDSDJ	135404	1992	11	0-10 m	0.7	1
BY15 GOTLANDSDJ	135404	1993	3	0-10 m	0.6799999999999999	1
BY15 GOTLANDSDJ	135404	1993	4	0-10 m	0.85	1
BY15 GOTLANDSDJ	135404	1993	6	0-10 m	0.57	1
BY15 GOTLANDSDJ	135404	1993	7	0-10 m	0.61	1
BY15 GOTLANDSDJ	135404	1993	8	0-10 m	0.52375	2
BY15 GOTLANDSDJ	135404	1993	10	0-10 m	0.545	1
BY15 GOTLANDSDJ	135404	1993	11	0-10 m	0.49333333333333335	1
BY15 GOTLANDSDJ	135404	1993	12	0-10 m	0.51	1
BY15 GOTLANDSDJ	135404	1994	1	0-10 m	0.6833333333333332	1
BY15 GOTLANDSDJ	135404	1994	2	0-10 m	0.74	1
BY15 GOTLANDSDJ	135404	1994	3	0-10 m	0.7966666666666666	2
BY15 GOTLANDSDJ	135404	1994	4	0-10 m	0.6825	1
BY15 GOTLANDSDJ	135404	1994	5	0-10 m		0
BY15 GOTLANDSDJ	135404	1994	7	0-10 m		0
BY15 GOTLANDSDJ	135404	1994	8	0-10 m		0
BY15 GOTLANDSDJ	135404	1994	9	0-10 m	0.4225	1
BY15 GOTLANDSDJ	135404	1994	10	0-10 m	0.45999999999999996	1
BY15 GOTLANDSDJ	135404	1994	11	0-10 m	0.37	1
BY15 GOTLANDSDJ	135404	1995	1	0-10 m	0.605	1
BY15 GOTLANDSDJ	135404	1995	2	0-10 m	0.92	1
BY15 GOTLANDSDJ	135404	1995	3	0-10 m	0.7875000000000001	2
BY15 GOTLANDSDJ	135404	1995	4	0-10 m	0.8125	1
BY15 GOTLANDSDJ	135404	1995	5	0-10 m	0.5675	1
BY15 GOTLANDSDJ	135404	1995	6	0-10 m	0.6	1
BY15 GOTLANDSDJ	135404	1995	7	0-10 m	0.4975	1
BY15 GOTLANDSDJ	135404	1995	8	0-10 m	0.455	1
BY15 GOTLANDSDJ	135404	1995	9	0-10 m	0.36	1
BY15 GOTLANDSDJ	135404	1995	10	0-10 m	0.45999999999999996	1
BY15 GOTLANDSDJ	135404	1995	11	0-10 m	0.5225	1
BY15 GOTLANDSDJ	135404	1995	12	0-10 m		0
BY15 GOTLANDSDJ	135404	1996	1	0-10 m	0.6675	1
BY15 GOTLANDSDJ	135404	1996	2	0-10 m	0.57	1
BY15 GOTLANDSDJ	135404	1996	3	0-10 m	0.7433333333333334	2
BY15 GOTLANDSDJ	135404	1996	4	0-10 m	1.6025	1
BY15 GOTLANDSDJ	135404	1996	5	0-10 m	0.5325	1
BY15 GOTLANDSDJ	135404	1996	6	0-10 m	0.4325	1
BY15 GOTLANDSDJ	135404	1996	7	0-10 m	0.47	1
BY15 GOTLANDSDJ	135404	1996	8	0-10 m	0.455	1
BY15 GOTLANDSDJ	135404	1996	9	0-10 m	0.4375	1
BY15 GOTLANDSDJ	135404	1996	10	0-10 m	0.3375	1
BY15 GOTLANDSDJ	135404	1996	11	0-10 m	0.3725	1
BY15 GOTLANDSDJ	135404	1996	12	0-10 m	0.4875	1
BY15 GOTLANDSDJ	135404	1997	1	0-10 m	0.5925	1
BY15 GOTLANDSDJ	135404	1997	3	0-10 m	0.68875	2
BY15 GOTLANDSDJ	135404	1997	4	0-10 m	0.8425	1
BY15 GOTLANDSDJ	135404	1997	6	0-10 m	0.4575	1
BY15 GOTLANDSDJ	135404	1997	7	0-10 m		0
BY15 GOTLANDSDJ	135404	1997	8	0-10 m	0.3625	1
BY15 GOTLANDSDJ	135404	1997	9	0-10 m	0.3375	1
BY15 GOTLANDSDJ	135404	1997	10	0-10 m	0.355	1
BY15 GOTLANDSDJ	135404	1997	11	0-10 m	0.43375	2
BY15 GOTLANDSDJ	135404	1997	12	0-10 m	0.34500000000000003	1
BY15 GOTLANDSDJ	135404	1998	1	0-10 m	0.44	1
BY15 GOTLANDSDJ	135404	1998	2	0-10 m	0.6933333333333334	1
BY15 GOTLANDSDJ	135404	1998	3	0-10 m	0.8483333333333334	2
BY15 GOTLANDSDJ	135404	1998	4	0-10 m	0.7600000000000001	1
BY15 GOTLANDSDJ	135404	1998	6	0-10 m	0.4125	2
BY15 GOTLANDSDJ	135404	1998	7	0-10 m	0.45	1
BY15 GOTLANDSDJ	135404	1998	8	0-10 m	0.36999999999999994	1
BY15 GOTLANDSDJ	135404	1998	9	0-10 m	0.33666666666666667	1
BY15 GOTLANDSDJ	135404	1998	10	0-10 m	0.35333333333333333	1
BY15 GOTLANDSDJ	135404	1998	11	0-10 m	0.52	1
BY15 GOTLANDSDJ	135404	1998	12	0-10 m	0.49500000000000005	2
BY15 GOTLANDSDJ	135404	1999	1	0-10 m	0.5533333333333333	1
BY15 GOTLANDSDJ	135404	1999	2	0-10 m	0.6933333333333334	1
BY15 GOTLANDSDJ	135404	1999	3	0-10 m	0.6933333333333334	1
BY15 GOTLANDSDJ	135404	1999	4	0-10 m	0.9033333333333333	1
BY15 GOTLANDSDJ	135404	1999	5	0-10 m	0.5333333333333333	1
BY15 GOTLANDSDJ	135404	1999	6	0-10 m	0.47	1
BY15 GOTLANDSDJ	135404	1999	7	0-10 m	0.38999999999999996	1
BY15 GOTLANDSDJ	135404	1999	8	0-10 m	0.31666666666666665	2
BY15 GOTLANDSDJ	135404	1999	9	0-10 m	0.3233333333333333	1
BY15 GOTLANDSDJ	135404	1999	10	0-10 m	0.22999999999999998	1
BY15 GOTLANDSDJ	135404	1999	12	0-10 m	0.5233333333333333	1
BY15 GOTLANDSDJ	135404	2000	1	0-10 m	0.8333333333333334	1
BY15 GOTLANDSDJ	135404	2000	2	0-10 m	0.8066666666666666	1
BY15 GOTLANDSDJ	135404	2000	3	0-10 m	0.8916666666666667	2
BY15 GOTLANDSDJ	135404	2000	4	0-10 m	0.7266666666666667	1
BY15 GOTLANDSDJ	135404	2000	5	0-10 m	0.45	1
BY15 GOTLANDSDJ	135404	2000	6	0-10 m	0.44	1
BY15 GOTLANDSDJ	135404	2000	7	0-10 m	0.4666666666666666	1
BY15 GOTLANDSDJ	135404	2000	8	0-10 m	0.3516666666666667	2
BY15 GOTLANDSDJ	135404	2000	10	0-10 m	0.28	1
BY15 GOTLANDSDJ	135404	2000	11	0-10 m	0.2733333333333334	1
BY15 GOTLANDSDJ	135404	2000	12	0-10 m	0.5066666666666667	1
BY15 GOTLANDSDJ	135404	2001	1	0-10 m	0.51	1
BY15 GOTLANDSDJ	135404	2001	3	0-10 m	0.6300000000000001	2
BY15 GOTLANDSDJ	135404	2001	4	0-10 m	0.6466666666666666	1
BY15 GOTLANDSDJ	135404	2001	5	0-10 m	0.44333333333333336	1
BY15 GOTLANDSDJ	135404	2001	6	0-10 m	0.35333333333333333	1
BY15 GOTLANDSDJ	135404	2001	7	0-10 m	0.24666666666666667	1
BY15 GOTLANDSDJ	135404	2001	8	0-10 m	0.3816666666666667	2
BY15 GOTLANDSDJ	135404	2001	10	0-10 m	0.30666666666666664	1
BY15 GOTLANDSDJ	135404	2001	11	0-10 m	0.49666666666666665	1
BY15 GOTLANDSDJ	135404	2001	12	0-10 m	0.47333333333333333	1
BY15 GOTLANDSDJ	135404	2002	1	0-10 m	0.5966666666666667	1
BY15 GOTLANDSDJ	135404	2002	3	0-10 m	0.9033333333333333	1
BY15 GOTLANDSDJ	135404	2002	4	0-10 m	0.6566666666666666	1
BY15 GOTLANDSDJ	135404	2002	5	0-10 m	0.53	1
BY15 GOTLANDSDJ	135404	2002	6	0-10 m	0.5366666666666666	1
BY15 GOTLANDSDJ	135404	2002	7	0-10 m	0.45999999999999996	1
BY15 GOTLANDSDJ	135404	2002	8	0-10 m	0.4033333333333333	2
BY15 GOTLANDSDJ	135404	2002	9	0-10 m	0.4066666666666667	1
BY15 GOTLANDSDJ	135404	2002	11	0-10 m	0.5566666666666666	1
BY15 GOTLANDSDJ	135404	2002	12	0-10 m	0.79	1
BY15 GOTLANDSDJ	135404	2003	1	0-10 m	0.7200000000000001	1
BY15 GOTLANDSDJ	135404	2003	2	0-10 m	0.8033333333333333	1
BY15 GOTLANDSDJ	135404	2003	3	0-10 m	0.7866666666666667	1
BY15 GOTLANDSDJ	135404	2003	4	0-10 m	0.9500000000000001	1
BY15 GOTLANDSDJ	135404	2003	5	0-10 m	0.6533333333333333	1
BY15 GOTLANDSDJ	135404	2003	6	0-10 m	0.5266666666666667	1
BY15 GOTLANDSDJ	135404	2003	7	0-10 m	0.5233333333333333	2
BY15 GOTLANDSDJ	135404	2003	8	0-10 m	0.3433333333333333	1
BY15 GOTLANDSDJ	135404	2003	9	0-10 m	0.35000000000000003	1
BY15 GOTLANDSDJ	135404	2003	10	0-10 m	0.4033333333333333	1
BY15 GOTLANDSDJ	135404	2003	11	0-10 m	0.49	1
BY15 GOTLANDSDJ	135404	2003	12	0-10 m	0.45	1
BY15 GOTLANDSDJ	135404	2004	1	0-10 m	0.7433333333333333	1
BY15 GOTLANDSDJ	135404	2004	2	0-10 m	0.7933333333333333	1
BY15 GOTLANDSDJ	135404	2004	3	0-10 m	0.8133333333333334	1
BY15 GOTLANDSDJ	135404	2004	4	0-10 m	0.7866666666666666	1
BY15 GOTLANDSDJ	135404	2004	5	0-10 m	0.5766666666666667	1
BY15 GOTLANDSDJ	135404	2004	6	0-10 m	0.5633333333333334	1
BY15 GOTLANDSDJ	135404	2004	7	0-10 m	0.5700000000000001	2
BY15 GOTLANDSDJ	135404	2004	8	0-10 m	0.4666666666666666	1
BY15 GOTLANDSDJ	135404	2004	9	0-10 m	0.5433333333333333	1
BY15 GOTLANDSDJ	135404	2004	10	0-10 m	0.5433333333333333	1
BY15 GOTLANDSDJ	135404	2004	11	0-10 m	0.5766666666666667	1
BY15 GOTLANDSDJ	135404	2004	12	0-10 m	0.6433333333333334	1
BY15 GOTLANDSDJ	135404	2005	1	0-10 m	1.1366666666666665	1
BY15 GOTLANDSDJ	135404	2005	2	0-10 m	1.11	1
BY15 GOTLANDSDJ	135404	2005	4	0-10 m	1.0466666666666669	2
BY15 GOTLANDSDJ	135404	2005	5	0-10 m	0.7633333333333333	1
BY15 GOTLANDSDJ	135404	2005	6	0-10 m	0.7233333333333333	1
BY15 GOTLANDSDJ	135404	2005	7	0-10 m	0.6533333333333333	1
BY15 GOTLANDSDJ	135404	2005	8	0-10 m	0.5366666666666666	1
BY15 GOTLANDSDJ	135404	2005	9	0-10 m	0.5449999999999999	2
BY15 GOTLANDSDJ	135404	2005	10	0-10 m	0.7133333333333333	1
BY15 GOTLANDSDJ	135404	2005	11	0-10 m	0.68	1
BY15 GOTLANDSDJ	135404	2005	12	0-10 m	0.7566666666666667	1
BY15 GOTLANDSDJ	135404	2006	1	0-10 m	0.96	1
BY15 GOTLANDSDJ	135404	2006	3	0-10 m	1.0016666666666667	2
BY15 GOTLANDSDJ	135404	2006	4	0-10 m	0.84	1
BY15 GOTLANDSDJ	135404	2006	5	0-10 m	0.71	1
BY15 GOTLANDSDJ	135404	2006	6	0-10 m	0.48666666666666664	1
BY15 GOTLANDSDJ	135404	2006	7	0-10 m	0.5533333333333333	1
BY15 GOTLANDSDJ	135404	2006	8	0-10 m	0.5233333333333334	2
BY15 GOTLANDSDJ	135404	2006	9	0-10 m	0.49	1
BY15 GOTLANDSDJ	135404	2006	10	0-10 m	0.48	1
BY15 GOTLANDSDJ	135404	2006	11	0-10 m	0.64	1
BY15 GOTLANDSDJ	135404	2006	12	0-10 m	0.79	1
BY15 GOTLANDSDJ	135404	2007	1	0-10 m	0.81	1
BY15 GOTLANDSDJ	135404	2007	2	0-10 m	0.96	1
BY15 GOTLANDSDJ	135404	2007	3	0-10 m	0.8966666666666666	1
BY15 GOTLANDSDJ	135404	2007	4	0-10 m	0.8233333333333333	1
BY15 GOTLANDSDJ	135404	2007	5	0-10 m	0.77	1
BY15 GOTLANDSDJ	135404	2007	6	0-10 m	0.7433333333333333	1
BY15 GOTLANDSDJ	135404	2007	7	0-10 m	0.6266666666666666	1
BY15 GOTLANDSDJ	135404	2007	8	0-10 m	0.5983333333333334	2
BY15 GOTLANDSDJ	135404	2007	9	0-10 m	0.5366666666666667	1
BY15 GOTLANDSDJ	135404	2007	10	0-10 m	0.5766666666666667	1
BY15 GOTLANDSDJ	135404	2007	11	0-10 m	0.5633333333333334	1
BY15 GOTLANDSDJ	135404	2007	12	0-10 m	0.7933333333333333	1
BY15 GOTLANDSDJ	135404	2008	1	0-10 m	0.8033333333333333	1
BY15 GOTLANDSDJ	135404	2008	2	0-10 m	0.9499999999999998	1
BY15 GOTLANDSDJ	135404	2008	3	0-10 m	1.09	1
BY15 GOTLANDSDJ	135404	2008	4	0-10 m	1.0166666666666666	1
BY15 GOTLANDSDJ	135404	2008	5	0-10 m	0.9033333333333333	1
BY15 GOTLANDSDJ	135404	2008	6	0-10 m	1.0533333333333335	1
BY15 GOTLANDSDJ	135404	2008	7	0-10 m	0.6766666666666667	2
BY15 GOTLANDSDJ	135404	2008	8	0-10 m	0.5466666666666667	1
BY15 GOTLANDSDJ	135404	2008	9	0-10 m	0.5866666666666666	1
BY15 GOTLANDSDJ	135404	2008	10	0-10 m	0.59	1
BY15 GOTLANDSDJ	135404	2008	11	0-10 m	0.63	1
BY15 GOTLANDSDJ	135404	2008	12	0-10 m	0.8300000000000001	1
BY15 GOTLANDSDJ	135404	2009	1	0-10 m	0.92	1
BY15 GOTLANDSDJ	135404	2009	2	0-10 m	0.92	1
BY15 GOTLANDSDJ	135404	2009	3	0-10 m	0.9133333333333334	1
BY15 GOTLANDSDJ	135404	2009	4	0-10 m	0.8633333333333333	1
BY15 GOTLANDSDJ	135404	2009	5	0-10 m	0.63	1
BY15 GOTLANDSDJ	135404	2009	6	0-10 m	0.5866666666666666	1
BY15 GOTLANDSDJ	135404	2009	7	0-10 m	0.5766666666666667	2
BY15 GOTLANDSDJ	135404	2009	8	0-10 m	0.5333333333333333	1
BY15 GOTLANDSDJ	135404	2009	9	0-10 m	0.5066666666666667	1
BY15 GOTLANDSDJ	135404	2009	10	0-10 m	0.5766666666666667	1
BY15 GOTLANDSDJ	135404	2009	11	0-10 m	0.75	1
BY15 GOTLANDSDJ	135404	2009	12	0-10 m	0.7399999999999999	1
BY15 GOTLANDSDJ	135404	2010	1	0-10 m	0.87	1
BY15 GOTLANDSDJ	135404	2010	2	0-10 m	0.9333333333333332	1
BY15 GOTLANDSDJ	135404	2010	3	0-10 m	0.9933333333333333	1
BY15 GOTLANDSDJ	135404	2010	4	0-10 m	0.8633333333333333	1
BY15 GOTLANDSDJ	135404	2010	5	0-10 m	1.0633333333333332	1
BY15 GOTLANDSDJ	135404	2010	6	0-10 m	0.6833333333333332	1
BY15 GOTLANDSDJ	135404	2010	7	0-10 m	0.6400000000000001	2
BY15 GOTLANDSDJ	135404	2010	8	0-10 m	0.49	1
BY15 GOTLANDSDJ	135404	2010	9	0-10 m	0.5	1
BY15 GOTLANDSDJ	135404	2010	10	0-10 m	0.6966666666666667	1
BY15 GOTLANDSDJ	135404	2010	11	0-10 m	0.6	1
BY15 GOTLANDSDJ	135404	2010	12	0-10 m	0.6433333333333334	1
BY15 GOTLANDSDJ	135404	2011	1	0-10 m	0.9233333333333333	1
BY15 GOTLANDSDJ	135404	2011	3	0-10 m	1.0066666666666666	1
BY15 GOTLANDSDJ	135404	2011	4	0-10 m	0.9499999999999998	1
BY15 GOTLANDSDJ	135404	2011	6	0-10 m	0.6833333333333332	1
BY15 GOTLANDSDJ	135404	2011	7	0-10 m	0.57	1
BY15 GOTLANDSDJ	135404	2011	8	0-10 m	0.7400000000000001	1
BY15 GOTLANDSDJ	135404	2011	9	0-10 m	0.5433333333333333	1
